word_index,file_offset_hex,vma_hex,value_u16,value_hex
210,0x00059ea4,0x67dc9ea4,0,0x0000
211,0x00059ea6,0x67dc9ea6,0,0x0000
212,0x00059ea8,0x67dc9ea8,0,0x0000
213,0x00059eaa,0x67dc9eaa,0,0x0000
214,0x00059eac,0x67dc9eac,0,0x0000
215,0x00059eae,0x67dc9eae,0,0x0000
216,0x00059eb0,0x67dc9eb0,0,0x0000
217,0x00059eb2,0x67dc9eb2,0,0x0000
218,0x00059eb4,0x67dc9eb4,0,0x0000
219,0x00059eb6,0x67dc9eb6,0,0x0000
220,0x00059eb8,0x67dc9eb8,0,0x0000
221,0x00059eba,0x67dc9eba,0,0x0000
222,0x00059ebc,0x67dc9ebc,0,0x0000
223,0x00059ebe,0x67dc9ebe,0,0x0000
224,0x00059ec0,0x67dc9ec0,0,0x0000
225,0x00059ec2,0x67dc9ec2,0,0x0000
226,0x00059ec4,0x67dc9ec4,0,0x0000
227,0x00059ec6,0x67dc9ec6,0,0x0000
228,0x00059ec8,0x67dc9ec8,0,0x0000
229,0x00059eca,0x67dc9eca,0,0x0000
230,0x00059ecc,0x67dc9ecc,0,0x0000
231,0x00059ece,0x67dc9ece,0,0x0000
232,0x00059ed0,0x67dc9ed0,0,0x0000
233,0x00059ed2,0x67dc9ed2,0,0x0000
234,0x00059ed4,0x67dc9ed4,0,0x0000
235,0x00059ed6,0x67dc9ed6,0,0x0000
236,0x00059ed8,0x67dc9ed8,0,0x0000
237,0x00059eda,0x67dc9eda,0,0x0000
238,0x00059edc,0x67dc9edc,0,0x0000
239,0x00059ede,0x67dc9ede,0,0x0000
240,0x00059ee0,0x67dc9ee0,0,0x0000
241,0x00059ee2,0x67dc9ee2,0,0x0000
242,0x00059ee4,0x67dc9ee4,0,0x0000
243,0x00059ee6,0x67dc9ee6,0,0x0000
244,0x00059ee8,0x67dc9ee8,0,0x0000
245,0x00059eea,0x67dc9eea,0,0x0000
246,0x00059eec,0x67dc9eec,0,0x0000
247,0x00059eee,0x67dc9eee,0,0x0000
248,0x00059ef0,0x67dc9ef0,0,0x0000
249,0x00059ef2,0x67dc9ef2,0,0x0000
250,0x00059ef4,0x67dc9ef4,0,0x0000
251,0x00059ef6,0x67dc9ef6,0,0x0000
252,0x00059ef8,0x67dc9ef8,0,0x0000
253,0x00059efa,0x67dc9efa,0,0x0000
254,0x00059efc,0x67dc9efc,0,0x0000
255,0x00059efe,0x67dc9efe,0,0x0000
256,0x00059f00,0x67dc9f00,0,0x0000
257,0x00059f02,0x67dc9f02,0,0x0000
258,0x00059f04,0x67dc9f04,0,0x0000
259,0x00059f06,0x67dc9f06,0,0x0000
260,0x00059f08,0x67dc9f08,0,0x0000
261,0x00059f0a,0x67dc9f0a,32,0x0020
262,0x00059f0c,0x67dc9f0c,32,0x0020
263,0x00059f0e,0x67dc9f0e,32,0x0020
264,0x00059f10,0x67dc9f10,32,0x0020
265,0x00059f12,0x67dc9f12,32,0x0020
266,0x00059f14,0x67dc9f14,32,0x0020
267,0x00059f16,0x67dc9f16,32,0x0020
268,0x00059f18,0x67dc9f18,32,0x0020
269,0x00059f1a,0x67dc9f1a,32,0x0020
270,0x00059f1c,0x67dc9f1c,104,0x0068
271,0x00059f1e,0x67dc9f1e,40,0x0028
272,0x00059f20,0x67dc9f20,40,0x0028
273,0x00059f22,0x67dc9f22,40,0x0028
274,0x00059f24,0x67dc9f24,40,0x0028
275,0x00059f26,0x67dc9f26,32,0x0020
276,0x00059f28,0x67dc9f28,32,0x0020
277,0x00059f2a,0x67dc9f2a,32,0x0020
278,0x00059f2c,0x67dc9f2c,32,0x0020
279,0x00059f2e,0x67dc9f2e,32,0x0020
280,0x00059f30,0x67dc9f30,32,0x0020
281,0x00059f32,0x67dc9f32,32,0x0020
282,0x00059f34,0x67dc9f34,32,0x0020
283,0x00059f36,0x67dc9f36,32,0x0020
284,0x00059f38,0x67dc9f38,32,0x0020
285,0x00059f3a,0x67dc9f3a,32,0x0020
286,0x00059f3c,0x67dc9f3c,32,0x0020
287,0x00059f3e,0x67dc9f3e,32,0x0020
288,0x00059f40,0x67dc9f40,32,0x0020
289,0x00059f42,0x67dc9f42,32,0x0020
290,0x00059f44,0x67dc9f44,32,0x0020
291,0x00059f46,0x67dc9f46,32,0x0020
292,0x00059f48,0x67dc9f48,32,0x0020
293,0x00059f4a,0x67dc9f4a,72,0x0048
294,0x00059f4c,0x67dc9f4c,16,0x0010
295,0x00059f4e,0x67dc9f4e,16,0x0010
296,0x00059f50,0x67dc9f50,16,0x0010
297,0x00059f52,0x67dc9f52,16,0x0010
298,0x00059f54,0x67dc9f54,16,0x0010
299,0x00059f56,0x67dc9f56,16,0x0010
300,0x00059f58,0x67dc9f58,16,0x0010
301,0x00059f5a,0x67dc9f5a,16,0x0010
302,0x00059f5c,0x67dc9f5c,16,0x0010
303,0x00059f5e,0x67dc9f5e,16,0x0010
304,0x00059f60,0x67dc9f60,16,0x0010
305,0x00059f62,0x67dc9f62,16,0x0010
306,0x00059f64,0x67dc9f64,16,0x0010
307,0x00059f66,0x67dc9f66,16,0x0010
308,0x00059f68,0x67dc9f68,16,0x0010
309,0x00059f6a,0x67dc9f6a,132,0x0084
310,0x00059f6c,0x67dc9f6c,132,0x0084
311,0x00059f6e,0x67dc9f6e,132,0x0084
312,0x00059f70,0x67dc9f70,132,0x0084
313,0x00059f72,0x67dc9f72,132,0x0084
314,0x00059f74,0x67dc9f74,132,0x0084
315,0x00059f76,0x67dc9f76,132,0x0084
316,0x00059f78,0x67dc9f78,132,0x0084
317,0x00059f7a,0x67dc9f7a,132,0x0084
318,0x00059f7c,0x67dc9f7c,132,0x0084
319,0x00059f7e,0x67dc9f7e,16,0x0010
320,0x00059f80,0x67dc9f80,16,0x0010
321,0x00059f82,0x67dc9f82,16,0x0010
322,0x00059f84,0x67dc9f84,16,0x0010
323,0x00059f86,0x67dc9f86,16,0x0010
324,0x00059f88,0x67dc9f88,16,0x0010
325,0x00059f8a,0x67dc9f8a,16,0x0010
326,0x00059f8c,0x67dc9f8c,385,0x0181
327,0x00059f8e,0x67dc9f8e,385,0x0181
328,0x00059f90,0x67dc9f90,385,0x0181
329,0x00059f92,0x67dc9f92,385,0x0181
330,0x00059f94,0x67dc9f94,385,0x0181
331,0x00059f96,0x67dc9f96,385,0x0181
332,0x00059f98,0x67dc9f98,257,0x0101
333,0x00059f9a,0x67dc9f9a,257,0x0101
334,0x00059f9c,0x67dc9f9c,257,0x0101
335,0x00059f9e,0x67dc9f9e,257,0x0101
336,0x00059fa0,0x67dc9fa0,257,0x0101
337,0x00059fa2,0x67dc9fa2,257,0x0101
338,0x00059fa4,0x67dc9fa4,257,0x0101
339,0x00059fa6,0x67dc9fa6,257,0x0101
340,0x00059fa8,0x67dc9fa8,257,0x0101
341,0x00059faa,0x67dc9faa,257,0x0101
342,0x00059fac,0x67dc9fac,257,0x0101
343,0x00059fae,0x67dc9fae,257,0x0101
344,0x00059fb0,0x67dc9fb0,257,0x0101
345,0x00059fb2,0x67dc9fb2,257,0x0101
346,0x00059fb4,0x67dc9fb4,257,0x0101
347,0x00059fb6,0x67dc9fb6,257,0x0101
348,0x00059fb8,0x67dc9fb8,257,0x0101
349,0x00059fba,0x67dc9fba,257,0x0101
350,0x00059fbc,0x67dc9fbc,257,0x0101
351,0x00059fbe,0x67dc9fbe,257,0x0101
352,0x00059fc0,0x67dc9fc0,16,0x0010
353,0x00059fc2,0x67dc9fc2,16,0x0010
354,0x00059fc4,0x67dc9fc4,16,0x0010
355,0x00059fc6,0x67dc9fc6,16,0x0010
356,0x00059fc8,0x67dc9fc8,16,0x0010
357,0x00059fca,0x67dc9fca,16,0x0010
358,0x00059fcc,0x67dc9fcc,386,0x0182
359,0x00059fce,0x67dc9fce,386,0x0182
360,0x00059fd0,0x67dc9fd0,386,0x0182
361,0x00059fd2,0x67dc9fd2,386,0x0182
362,0x00059fd4,0x67dc9fd4,386,0x0182
363,0x00059fd6,0x67dc9fd6,386,0x0182
364,0x00059fd8,0x67dc9fd8,258,0x0102
365,0x00059fda,0x67dc9fda,258,0x0102
366,0x00059fdc,0x67dc9fdc,258,0x0102
367,0x00059fde,0x67dc9fde,258,0x0102
368,0x00059fe0,0x67dc9fe0,258,0x0102
369,0x00059fe2,0x67dc9fe2,258,0x0102
370,0x00059fe4,0x67dc9fe4,258,0x0102
371,0x00059fe6,0x67dc9fe6,258,0x0102
372,0x00059fe8,0x67dc9fe8,258,0x0102
373,0x00059fea,0x67dc9fea,258,0x0102
374,0x00059fec,0x67dc9fec,258,0x0102
375,0x00059fee,0x67dc9fee,258,0x0102
376,0x00059ff0,0x67dc9ff0,258,0x0102
377,0x00059ff2,0x67dc9ff2,258,0x0102
378,0x00059ff4,0x67dc9ff4,258,0x0102
379,0x00059ff6,0x67dc9ff6,258,0x0102
380,0x00059ff8,0x67dc9ff8,258,0x0102
381,0x00059ffa,0x67dc9ffa,258,0x0102
382,0x00059ffc,0x67dc9ffc,258,0x0102
383,0x00059ffe,0x67dc9ffe,258,0x0102
384,0x0005a000,0x67dca000,16,0x0010
385,0x0005a002,0x67dca002,16,0x0010
386,0x0005a004,0x67dca004,16,0x0010
387,0x0005a006,0x67dca006,16,0x0010
388,0x0005a008,0x67dca008,32,0x0020
389,0x0005a00a,0x67dca00a,32,0x0020
390,0x0005a00c,0x67dca00c,32,0x0020
391,0x0005a00e,0x67dca00e,32,0x0020
392,0x0005a010,0x67dca010,32,0x0020
