byte_index,file_offset_hex,vma_hex,value_signed,value_hex
2009,0x0005d9fd,0x67dcd9fd,-2,0xfe
2010,0x0005d9fe,0x67dcd9fe,-2,0xfe
2011,0x0005d9ff,0x67dcd9ff,-1,0xff
2012,0x0005da00,0x67dcda00,-4,0xfc
2013,0x0005da01,0x67dcda01,-4,0xfc
2014,0x0005da02,0x67dcda02,-4,0xfc
2015,0x0005da03,0x67dcda03,-4,0xfc
2016,0x0005da04,0x67dcda04,4,0x04
2017,0x0005da05,0x67dcda05,4,0x04
2018,0x0005da06,0x67dcda06,3,0x03
2019,0x0005da07,0x67dcda07,3,0x03
2020,0x0005da08,0x67dcda08,2,0x02
2021,0x0005da09,0x67dcda09,2,0x02
2022,0x0005da0a,0x67dcda0a,2,0x02
2023,0x0005da0b,0x67dcda0b,2,0x02
2024,0x0005da0c,0x67dcda0c,-1,0xff
2025,0x0005da0d,0x67dcda0d,-1,0xff
2026,0x0005da0e,0x67dcda0e,0,0x00
2027,0x0005da0f,0x67dcda0f,0,0x00
2028,0x0005da10,0x67dcda10,-3,0xfd
2029,0x0005da11,0x67dcda11,-3,0xfd
2030,0x0005da12,0x67dcda12,-3,0xfd
2031,0x0005da13,0x67dcda13,-3,0xfd
2032,0x0005da14,0x67dcda14,-1,0xff
2033,0x0005da15,0x67dcda15,-2,0xfe
2034,0x0005da16,0x67dcda16,-3,0xfd
2035,0x0005da17,0x67dcda17,-3,0xfd
2036,0x0005da18,0x67dcda18,0,0x00
2037,0x0005da19,0x67dcda19,-1,0xff
2038,0x0005da1a,0x67dcda1a,-2,0xfe
2039,0x0005da1b,0x67dcda1b,-2,0xfe
2040,0x0005da1c,0x67dcda1c,2,0x02
2041,0x0005da1d,0x67dcda1d,1,0x01
2042,0x0005da1e,0x67dcda1e,-1,0xff
2043,0x0005da1f,0x67dcda1f,-1,0xff
2044,0x0005da20,0x67dcda20,3,0x03
2045,0x0005da21,0x67dcda21,1,0x01
2046,0x0005da22,0x67dcda22,0,0x00
2047,0x0005da23,0x67dcda23,-1,0xff
2048,0x0005da24,0x67dcda24,-2,0xfe
2049,0x0005da25,0x67dcda25,-2,0xfe
2050,0x0005da26,0x67dcda26,-1,0xff
2051,0x0005da27,0x67dcda27,0,0x00
2052,0x0005da28,0x67dcda28,-2,0xfe
2053,0x0005da29,0x67dcda29,-1,0xff
2054,0x0005da2a,0x67dcda2a,0,0x00
2055,0x0005da2b,0x67dcda2b,1,0x01
2056,0x0005da2c,0x67dcda2c,-1,0xff
2057,0x0005da2d,0x67dcda2d,-1,0xff
2058,0x0005da2e,0x67dcda2e,0,0x00
2059,0x0005da2f,0x67dcda2f,1,0x01
2060,0x0005da30,0x67dcda30,-1,0xff
2061,0x0005da31,0x67dcda31,0,0x00
2062,0x0005da32,0x67dcda32,0,0x00
2063,0x0005da33,0x67dcda33,1,0x01
2064,0x0005da34,0x67dcda34,3,0x03
2065,0x0005da35,0x67dcda35,2,0x02
2066,0x0005da36,0x67dcda36,0,0x00
2067,0x0005da37,0x67dcda37,-1,0xff
2068,0x0005da38,0x67dcda38,3,0x03
2069,0x0005da39,0x67dcda39,1,0x01
2070,0x0005da3a,0x67dcda3a,0,0x00
2071,0x0005da3b,0x67dcda3b,-1,0xff
2072,0x0005da3c,0x67dcda3c,3,0x03
2073,0x0005da3d,0x67dcda3d,1,0x01
2074,0x0005da3e,0x67dcda3e,0,0x00
2075,0x0005da3f,0x67dcda3f,-1,0xff
2076,0x0005da40,0x67dcda40,2,0x02
2077,0x0005da41,0x67dcda41,1,0x01
2078,0x0005da42,0x67dcda42,0,0x00
2079,0x0005da43,0x67dcda43,0,0x00
2080,0x0005da44,0x67dcda44,0,0x00
2081,0x0005da45,0x67dcda45,0,0x00
2082,0x0005da46,0x67dcda46,0,0x00
2083,0x0005da47,0x67dcda47,1,0x01
2084,0x0005da48,0x67dcda48,0,0x00
2085,0x0005da49,0x67dcda49,0,0x00
2086,0x0005da4a,0x67dcda4a,0,0x00
2087,0x0005da4b,0x67dcda4b,1,0x01
2088,0x0005da4c,0x67dcda4c,0,0x00
2089,0x0005da4d,0x67dcda4d,0,0x00
2090,0x0005da4e,0x67dcda4e,0,0x00
2091,0x0005da4f,0x67dcda4f,1,0x01
2092,0x0005da50,0x67dcda50,0,0x00
2093,0x0005da51,0x67dcda51,0,0x00
2094,0x0005da52,0x67dcda52,0,0x00
2095,0x0005da53,0x67dcda53,1,0x01
2096,0x0005da54,0x67dcda54,0,0x00
2097,0x0005da55,0x67dcda55,0,0x00
2098,0x0005da56,0x67dcda56,0,0x00
2099,0x0005da57,0x67dcda57,1,0x01
2100,0x0005da58,0x67dcda58,0,0x00
2101,0x0005da59,0x67dcda59,0,0x00
2102,0x0005da5a,0x67dcda5a,-1,0xff
2103,0x0005da5b,0x67dcda5b,0,0x00
2104,0x0005da5c,0x67dcda5c,0,0x00
2105,0x0005da5d,0x67dcda5d,-1,0xff
2106,0x0005da5e,0x67dcda5e,-1,0xff
2107,0x0005da5f,0x67dcda5f,-1,0xff
2108,0x0005da60,0x67dcda60,0,0x00
2109,0x0005da61,0x67dcda61,-1,0xff
2110,0x0005da62,0x67dcda62,-1,0xff
2111,0x0005da63,0x67dcda63,-1,0xff
2112,0x0005da64,0x67dcda64,1,0x01
2113,0x0005da65,0x67dcda65,2,0x02
2114,0x0005da66,0x67dcda66,3,0x03
2115,0x0005da67,0x67dcda67,4,0x04
2116,0x0005da68,0x67dcda68,0,0x00
2117,0x0005da69,0x67dcda69,0,0x00
2118,0x0005da6a,0x67dcda6a,2,0x02
2119,0x0005da6b,0x67dcda6b,3,0x03
2120,0x0005da6c,0x67dcda6c,-1,0xff
2121,0x0005da6d,0x67dcda6d,-1,0xff
2122,0x0005da6e,0x67dcda6e,0,0x00
2123,0x0005da6f,0x67dcda6f,1,0x01
2124,0x0005da70,0x67dcda70,-1,0xff
2125,0x0005da71,0x67dcda71,-1,0xff
2126,0x0005da72,0x67dcda72,-1,0xff
2127,0x0005da73,0x67dcda73,0,0x00
2128,0x0005da74,0x67dcda74,0,0x00
2129,0x0005da75,0x67dcda75,0,0x00
2130,0x0005da76,0x67dcda76,-1,0xff
2131,0x0005da77,0x67dcda77,-1,0xff
2132,0x0005da78,0x67dcda78,1,0x01
2133,0x0005da79,0x67dcda79,0,0x00
2134,0x0005da7a,0x67dcda7a,0,0x00
2135,0x0005da7b,0x67dcda7b,-1,0xff
2136,0x0005da7c,0x67dcda7c,2,0x02
2137,0x0005da7d,0x67dcda7d,2,0x02
2138,0x0005da7e,0x67dcda7e,1,0x01
2139,0x0005da7f,0x67dcda7f,0,0x00
2140,0x0005da80,0x67dcda80,3,0x03
2141,0x0005da81,0x67dcda81,3,0x03
2142,0x0005da82,0x67dcda82,2,0x02
2143,0x0005da83,0x67dcda83,1,0x01
2144,0x0005da84,0x67dcda84,-1,0xff
2145,0x0005da85,0x67dcda85,-2,0xfe
2146,0x0005da86,0x67dcda86,-2,0xfe
2147,0x0005da87,0x67dcda87,-1,0xff
2148,0x0005da88,0x67dcda88,-1,0xff
2149,0x0005da89,0x67dcda89,-2,0xfe
2150,0x0005da8a,0x67dcda8a,-2,0xfe
2151,0x0005da8b,0x67dcda8b,-1,0xff
2152,0x0005da8c,0x67dcda8c,-1,0xff
2153,0x0005da8d,0x67dcda8d,-1,0xff
2154,0x0005da8e,0x67dcda8e,-1,0xff
2155,0x0005da8f,0x67dcda8f,-1,0xff
2156,0x0005da90,0x67dcda90,0,0x00
2157,0x0005da91,0x67dcda91,-1,0xff
2158,0x0005da92,0x67dcda92,-1,0xff
2159,0x0005da93,0x67dcda93,0,0x00
2160,0x0005da94,0x67dcda94,1,0x01
2161,0x0005da95,0x67dcda95,0,0x00
2162,0x0005da96,0x67dcda96,1,0x01
2163,0x0005da97,0x67dcda97,0,0x00
2164,0x0005da98,0x67dcda98,0,0x00
2165,0x0005da99,0x67dcda99,0,0x00
2166,0x0005da9a,0x67dcda9a,0,0x00
2167,0x0005da9b,0x67dcda9b,0,0x00
2168,0x0005da9c,0x67dcda9c,0,0x00
2169,0x0005da9d,0x67dcda9d,-1,0xff
2170,0x0005da9e,0x67dcda9e,0,0x00
2171,0x0005da9f,0x67dcda9f,0,0x00
2172,0x0005daa0,0x67dcdaa0,-1,0xff
2173,0x0005daa1,0x67dcdaa1,-1,0xff
2174,0x0005daa2,0x67dcdaa2,-1,0xff
2175,0x0005daa3,0x67dcdaa3,0,0x00
2176,0x0005daa4,0x67dcdaa4,0,0x00
2177,0x0005daa5,0x67dcdaa5,-1,0xff
2178,0x0005daa6,0x67dcdaa6,-2,0xfe
2179,0x0005daa7,0x67dcdaa7,-1,0xff
2180,0x0005daa8,0x67dcdaa8,-1,0xff
2181,0x0005daa9,0x67dcdaa9,-1,0xff
2182,0x0005daaa,0x67dcdaaa,-2,0xfe
2183,0x0005daab,0x67dcdaab,-1,0xff
2184,0x0005daac,0x67dcdaac,-1,0xff
2185,0x0005daad,0x67dcdaad,-1,0xff
2186,0x0005daae,0x67dcdaae,-1,0xff
2187,0x0005daaf,0x67dcdaaf,-1,0xff
2188,0x0005dab0,0x67dcdab0,0,0x00
2189,0x0005dab1,0x67dcdab1,0,0x00
2190,0x0005dab2,0x67dcdab2,0,0x00
2191,0x0005dab3,0x67dcdab3,0,0x00
2192,0x0005dab4,0x67dcdab4,-1,0xff
2193,0x0005dab5,0x67dcdab5,-1,0xff
2194,0x0005dab6,0x67dcdab6,-1,0xff
2195,0x0005dab7,0x67dcdab7,0,0x00
2196,0x0005dab8,0x67dcdab8,-1,0xff
2197,0x0005dab9,0x67dcdab9,-1,0xff
2198,0x0005daba,0x67dcdaba,-1,0xff
2199,0x0005dabb,0x67dcdabb,0,0x00
2200,0x0005dabc,0x67dcdabc,-2,0xfe
2201,0x0005dabd,0x67dcdabd,-2,0xfe
2202,0x0005dabe,0x67dcdabe,-1,0xff
2203,0x0005dabf,0x67dcdabf,0,0x00
2204,0x0005dac0,0x67dcdac0,-2,0xfe
2205,0x0005dac1,0x67dcdac1,-2,0xfe
2206,0x0005dac2,0x67dcdac2,-1,0xff
2207,0x0005dac3,0x67dcdac3,0,0x00
2208,0x0005dac4,0x67dcdac4,0,0x00
2209,0x0005dac5,0x67dcdac5,0,0x00
2210,0x0005dac6,0x67dcdac6,1,0x01
2211,0x0005dac7,0x67dcdac7,1,0x01
2212,0x0005dac8,0x67dcdac8,1,0x01
2213,0x0005dac9,0x67dcdac9,1,0x01
2214,0x0005daca,0x67dcdaca,2,0x02
2215,0x0005dacb,0x67dcdacb,3,0x03
2216,0x0005dacc,0x67dcdacc,1,0x01
2217,0x0005dacd,0x67dcdacd,2,0x02
2218,0x0005dace,0x67dcdace,3,0x03
2219,0x0005dacf,0x67dcdacf,4,0x04
2220,0x0005dad0,0x67dcdad0,1,0x01
2221,0x0005dad1,0x67dcdad1,2,0x02
2222,0x0005dad2,0x67dcdad2,4,0x04
2223,0x0005dad3,0x67dcdad3,5,0x05
2224,0x0005dad4,0x67dcdad4,-3,0xfd
2225,0x0005dad5,0x67dcdad5,-1,0xff
